Country_Name,Country_code,Year,log_gdp_per_capita,annual_inflation,change_in_volume_of_imports,change_in_volume_of_exports,unemployment_rate,gov_revenue_per_GDP,log_gov_expenditure_per_GDP,gov_lending_minus_borrowing_per_GDP,gov_net_debt_per_GDP,exports_minus_imports_per_GDP,log10_share_world_GDP,
Afghanistan,AFG,2021,2.7052563013325353,2.302,-7.862,-5.116,9.2,26.941,1.4471425205480282,-1.019,50.255,11.705,-1.3883150160286442,
Albania,ALB,2021,3.726171967671708,1.411,4.721,1.699,11.5,27.425,1.4680961351210635,0.137,59.591,-7.632,-1.513430223375619,
Algeria,DZA,2021,3.5908429489271256,1.952,-0.027,-3.636,11.383,32.603,1.5825292405288394,-6.253,30.526,-10.11,-0.49141660880095855,
American Samoa,ASM,2021,3.6343613756603856,1.828,2.258,-1.711,4.5,41.681,1.5856750037868879,-1.248,18.325499999999998,2.282,-2.763526750753288,
Andorra,ADO,2021,4.28963665989092,1.628,2.8045,3.3245,5.5794999999999995,41.232,1.6139580408572138,1.069,41.657,-0.371,-0.7774190218032404,
Angola,AGO,2021,3.4724580435421855,17.079,-11.289,0.227,9.2,20.015,1.2838211659430592,6.014,50.255,5.739,-0.8496363324806353,
Antigua and Barbuda,ATG,2021,4.235413798232445,1.475,-1.191,8.048,7.3835,18.923,1.3611042704003045,-1.246,43.678,-6.507,-2.5158787875493105,
Argentina,ARG,2021,3.9952099042543523,53.548,-21.107,12.155,9.825,33.859,1.5835048267045164,-0.409,43.678,-0.899,-0.06253336431816743,
Armenia,ARM,2021,3.663207942844398,1.443,9.479,13.853,18.9,23.831,1.3945392313722045,1.425,41.657,-8.18,-1.5638112151850132,
Aruba,ABW,2021,4.41068547370433,4.257,-0.171,1.438,7.544,27.461,1.4325042988610275,4.827,43.678,2.093,-2.272840738863016,
Australia,AUS,2021,4.735185404655059,1.61,-0.932,3.461,5.158,34.557,1.5849076390356158,-3.11,27.63,0.596,0.48776249861796844,
Austria,AUT,2021,4.702260576860328,1.49,2.587,2.802,4.5,48.945,1.683137131483007,1.779,47.793,2.624,0.00794119039673966,
Azerbaijan,AZE,2021,3.6824763140047665,2.712,-0.544,2.368,4.848,41.521,1.5240454289496974,8.886,41.657,9.084,-1.0292186462955535,
Bahamas The,BHS,2021,4.552230416457746,1.335,-5.352,3.245,10.653,18.114,1.2955890889998196,0.815,54.9555,0.616,-1.5935833423343562,
Bahrain,BHR,2021,4.414932923295401,1,-7.97,1.319,4,22.493,1.5199067107167379,-6.171,50.255,-2.059,-1.1191000264444397,
Bangladesh,BGD,2021,3.259125410037467,5.475,4.17,13.946,3.7915,9.745,1.179178229209794,-3.308,28.924500000000002,-1.686,-0.15319373983097156,
Barbados,BRB,2021,4.258624833089704,4.1,6.204,7.81,10.357,31.16,1.437163710446504,6.261,121.068,-3.102,-1.9799158749702288,
Belarus,BLR,2021,3.8233477045412108,5.6,4.923,-0.011,0.295,39.225,1.5865760533736313,2.4,41.657,-1.848,-0.8974957712506845,
Belgium,BEL,2021,4.664986548321172,1.249,-1.119,-0.671,5.358,50.365,1.718277425409748,-0.205,85.821,-1.229,0.07839631390631822,
Belize,BLZ,2021,3.653018485570568,0.187,6.476,5.246,9,31.696,1.552290933824766,-0.489,43.678,-9.64,-2.4544612355316207,
Benin,BEN,2021,3.085722160201516,-0.933,-7.226,-4.384,9.2,14.062,1.1643826009631688,1.057,50.255,-4.332,-1.4398398653772657,
Bermuda,BMU,2021,4.66531564327827,1.812,0.544,1.29,5.667,29.386,1.553105939463782,-0.185,54.9555,-2.04,0.5636597859119781,
Bhutan,BTN,2021,3.5259228789552197,2.6,-7.885,-16.79,3.7915,23.828,1.3974707171685303,-0.233,28.924500000000002,-22.492,-2.2626490946396043,
Bolivia,BOL,2021,3.552232486607586,1.839,-0.117,2.926,4,28.845,1.5571100198445573,-5.848,48.018,-3.306,-1.0487426710734278,
Bosnia and Herzegovina,BIH,2021,3.77924718382764,0.617,1.266,-1.015,15.7,42.625,1.6139580408572138,2.288,21.027,-3.562,-1.3536547110595782,
Botswana,BWA,2021,3.8905702294935542,2.845,6.661,-16.62,9.2,26.98,1.5220528008688226,-11.089,3.887,-7.598,-1.4434555782710692,
Brazil,BRA,2021,3.942076542065608,3.733,3.508,-1.592,11.925,31.844,1.578157666893844,-0.953,55.695,-2.769,0.473222913806379,
Brunei Darussalam,BRN,2021,4.467076713190562,-0.418,13.766,14.881,6.822,22.784,1.475627611441081,-7.113,28.924500000000002,6.643,-1.5988156548413839,
Bulgaria,BGR,2021,3.989990124661644,2.457,2.418,1.938,4.2,35.405,1.5607671824152471,-0.826,8.138,4.042,-0.7906717389241172,
Burkina Faso,BFA,2021,2.889130752972769,-3.233,-0.343,-2.922,9.2,20.399,1.3778160291720605,-2.199,50.255,-4.772,-1.4198216332785984,
Burundi,BDI,2021,2.431083795270982,-0.709,21.339,5.098,9.2,21.784,1.4777432977859462,-7.758,50.255,-17.874,-2.168588662728713,
Cambodia,KHM,2021,3.209640995284885,2.014,17.773,13.833,3.7915,26.234,1.362105319293773,3.551,28.924500000000002,-15.832,-1.227044368092267,
Cameroon,CMR,2021,3.182888066349008,2.452,22.781,-2.231,9.2,15.743,1.2799861608815726,-2.294,40.402,-4.356,-1.0351631885363202,
Canada,CAN,2021,4.66531564327827,1.949,0.544,1.29,5.667,40.816,1.614496468322216,-0.185,25.861,-2.04,0.5636597859119781,
Cape Verde,CPV,2021,3.5565051242503722,1.107,-4.448,10.03,8.5,29.402,1.4946693175865642,0.656,115.743,0.297,-2.3664247442359096,
Cayman Islands,CYM,2021,3.9193600306310223,2.136,-0.171,1.438,7.3835,25.807,1.4325042988610275,-0.474,43.678,-2.0345,-1.2638065525390085,
Central African Republic,CAF,2021,2.6811172647994495,2.685,9.353,-1.781,9.2,18.347,1.2284516907143999,1.771,50.255,-4.929,-2.273178974457919,
Chad,TCD,2021,2.8361195819568272,-0.972,3.995,9.571,9.2,14.249,1.1589953768483092,0.823,50.255,-4.878,-1.6029533660555173,
Chile,CHL,2021,4.169442532949638,2.253,-2.315,-2.293,7.223,23.202,1.4124437465447621,-2.301,7.874,-3.845,-0.23518786336416722,
China,CHN,2021,4.012271007997715,2.903,-0.936,2.599,3.62,27.66,1.5311211154127278,-5.464,28.924500000000002,0.981,1.5346898127290316,
Colombia,COL,2021,3.8077500926370793,3.521,8.101,2.571,10.517,29.351,1.5032185079300333,-0.04,43.787,-4.247,-0.23482528499840916,
Comoros,COM,2021,3.134311010340543,3.701,1.006,0.497,9.2,16.137,1.2634230108673854,-2.059,50.255,-3.806,-2.562689432871371,
Congo Dem.Rep.,ZAR,2021,3.299373263414817,2.518,1.566,1.749,9.2,21.68,1.4201373545938254,-1.404,50.255,-4.264,-1.4416439590138743,
Congo Rep.,COG,2021,3.4386689006867375,2.207,-10.777,-3.724,9.2,27.251,1.3310019048442048,8.197,50.255,3.527,-1.6452181905469851,
Costa Rica,CRI,2021,4.087917645690805,2.097,-0.171,2.688,12.417,14.228,1.3270113597524094,-2.775,43.678,-2.373,-0.8959527807598076,
Cote d'Ivoire,CIV,2021,3.3482191642022396,0.806,-2.104,10.346,9.2,15.029,1.2384726569483564,-0.77,50.255,-2.674,-0.8307108102046075,
Croatia,HRV,2021,4.171814765841006,0.772,4.784,4.585,7.758,47.517,1.673242147318043,2.403,41.657,2.777,-0.8641216171854774,
Cuba,CUB,2021,3.9193600306310223,2.136,-0.171,1.438,7.3835,25.807,1.4325042988610275,-0.474,43.678,-2.0345,-1.2638065525390085,
Curacao,CUW,2021,3.9193600306310223,2.136,-0.171,1.438,7.3835,25.807,1.4325042988610275,-0.474,43.678,-2.0345,-1.2638065525390085,
Cyprus,CYP,2021,4.447917537281141,0.556,1.527,1.963,7.075,41.232,1.5965641099827943,4.13,49.403,-6.715,-1.2577395336654207,
Czech Republic,CZE,2021,4.371779152813294,2.856,1.372,1.303,2.001,41.422,1.6144226060244975,0.772,18.281,-0.371,-0.23717345806199341,
Denmark,DNK,2021,4.77648558097777,0.729,0.544,1.846,5.042,53.499,1.696286476550003,3.504,10.425,7.81,-0.11370880319601276,
Djibouti,DJI,2021,3.491784574766134,3.319,10.067,9.23,9.2,21.68,1.3527033590475481,0.349,38.281,13.007,-2.1106632080548997,
Dominica,DMA,2021,3.9193600306310223,1.607,-1.468,40.508,7.3835,36.88,1.6600492239566549,-6.4,43.678,-27.153,-2.9236929507313887,
Dominican Republic,DOM,2021,3.9342767024580376,1.811,5.658,-0.757,6.167,14.396,1.21987256332354,0.55,43.569,-1.353,-0.7699471159970938,
Ecuador,ECU,2021,3.793906972221132,0.266,0.441,5.896,3.84,33.429,1.5634573528070717,-0.457,43.678,-0.104,-0.6858874551817364,
Egypt Arab Rep.,EGY,2021,3.483393283033036,13.875,3.117,9.779,8.612,20.12,1.4397904357896343,1.241,74.361,-3.603,-0.1086986702269511,
El Salvador,SLV,2021,3.621898811891408,0.074,0.923,2.679,6.733,22.182,1.4020205187339458,0.613,43.678,-2.064,-1.2639059069029384,
Equatorial Guinea,GNQ,2021,3.9390172776239756,1.213,-21.59,-6.599,9.2,17.906,1.208253193072685,2.582,29.83,-5.882,-1.617436091423617,
Eritrea,ERI,2021,2.7533769690570913,-16.365,3.597,-14.113,9.2,31.736,1.5230046724215365,0.155,50.255,12.106,-2.325241812514219,
Estonia,EST,2021,4.375802931568481,2.268,3.73,6.231,4.448,38.59,1.590897538556694,-0.405,-2.062,2.643,-1.1388719552421036,
Ethiopia,ETH,2021,2.982617173637427,15.81,-6.125,0.531,9.2,12.793,1.1853154580036565,-2.027,53.813,-5.317,-0.7211173047170332,
Fiji,FJI,2021,3.781253312921504,1.773,2.258,-1.711,4.5,25.924,1.4921315335815695,-1.759,48.506,-12.889,-2.042819630142542,
Finland,FIN,2021,4.688504803693855,1.137,2.445,7.498,6.833,52.292,1.7259034687882122,-0.759,24.462,-0.459,-0.20076393570408543,
France,FRA,2021,4.6221785731393705,1.3,2.538,1.902,8.467,52.565,1.7447856864585214,-1.637,89.394,-0.667,0.7824313267846189,
French Polynesia,PYF,2021,3.6343613756603856,1.828,2.258,-1.711,4.5,41.681,1.5856750037868879,-1.248,18.325499999999998,2.282,-2.763526750753288,
Gabon,GAB,2021,3.9090926059415403,2.022,7.619,20.347,9.2,19.534,1.2407239293188457,4.402,50.255,-0.279,-1.462026088496533,
Gambia The,GMB,2021,2.888856532724081,7.116,10.315,19.866,9.2,21.044,1.372451701409366,0.579,50.255,-5.3,-2.378329792652234,
Georgia,GEO,2021,3.6780711077307457,4.853,12.607,8.432,11.6,26.697,1.4550429140790762,-0.595,41.657,-5.057,-1.44021251175362,
Germany,DEU,2021,4.667197157511524,1.346,2.57,0.978,3.133,46.696,1.654888547524308,2.093,41.149,7.074,0.9527270751427483,
Ghana,GHA,2021,3.3465133599106247,7.176,3.069,5.718,9.2,13.738,1.3238500038468026,-1.688,58,-2.739,-0.8255981897659512,
Greece,GRC,2021,4.291580395363795,0.517,1.155,4.298,17.325,46.764,1.6646231745222515,3.503,41.657,-2.096,-0.342136931983279,
Greenland,GRL,2021,4.66531564327827,1.812,0.544,1.29,5.667,29.386,1.553105939463782,-0.185,54.9555,-2.04,0.5636597859119781,
Grenada,GRD,2021,4.048964351643694,0.599,2.803,0.781,7.3835,26.519,1.3337897383311974,6.797,43.678,-15.826,-2.6329992305343892,
Guam,GUM,2021,3.6343613756603856,1.828,2.258,-1.711,4.5,41.681,1.5856750037868879,-1.248,18.325499999999998,2.282,-2.763526750753288,
Guatemala,GTM,2021,3.638922337052072,3.7,5.574,-0.197,7.3835,11.273,1.131040931600099,-0.608,43.678,2.417,-0.7773379911699577,
Guinea,GIN,2021,3.005395031886706,9.471,-3.366,18.16,9.2,14.129,1.1641743419166486,-0.009,50.255,-13.698,-1.4986804913723615,
